Metric,TA,Random,TA - Random,TA/Random
Tasks Completed,51.24,37.91,13.330000000000005,1.351622263255078
Throughput,0.05124,0.0379099999999999,0.013330000000000099,1.3516222632550814
Avg Task Time,122.68703974151008,87.21735461628273,35.46968512522734,1.406681506006208
Total AGV Collisions,407.2,276.01,131.19,1.4753088656208109
