Strategy,Tasks Completed,Task Success Rate,Avg Task Time,Throughput,Total AGV Collisions,Scheduler Avg Time,Planner Avg Time
TA,51.24,0.5124000000000001,122.68703974151008,0.05124,407.2,5.393213998991994e-05,0.0027153384820732
Random,37.91,0.7582000000000001,87.21735461628273,0.0379099999999999,276.01,1.636455995030701e-05,0.0046611933040863
