Planner,Tasks Completed,Task Success Rate,Throughput,Avg Task Time,Total AGV Collisions,Planner Avg Time
A*,37.88,0.7576,0.0378799999999999,65.90820218532926,271.22,0.0021435271490202
CBS-FW,37.44,0.7487999999999999,0.0374399999999999,67.27200205661161,5.58,0.0578942732240574
DHC,40.2,0.804,0.0402,61.87393130848279,222.72,0.0018112174458057
