Order Mode,Tasks Completed,Task Success Rate,Throughput,Avg Task Time,Total AGV Collisions
OneShot,37.88,0.7576,0.0378799999999999,65.90820218532926,271.22
Constant,37.72,0.7544000000000001,0.0377199999999999,35.43630603878711,252.49
Periodic,38.2,0.7639999999999998,0.0381999999999999,57.24352728005928,256.69
Pareto,23.97,0.4794000000000001,0.0239699999999999,44.95871093843075,303.03
Burst,38.96,0.7791999999999999,0.0389599999999999,66.24118134129625,195.96
