scheduler,planner,order_mode,Tasks Completed,Task Success Rate,Total Task Time,Avg Task Time,Throughput,Total AGV Collisions,Scheduler Calls,Scheduler Total Time,Scheduler Avg Time,Planner Calls,Planner Total Time,Planner Avg Time,Decision Total Time,Sim Steps,finished,sim_steps
random,astar,oneshot,99.91,0.9991,26270.94,262.99598315065543,0.17711326945002995,277.44,167.15,0.0029569810015527766,1.832730939505664e-05,395.32,1.8793544579998707,0.004558235611491323,1.8823114390014235,568.92,0.96,568.92
random,astar,continuous_constant,99.93,0.9993000000000001,7163.11,71.69850158730159,0.16313092525710146,291.55,192.82,0.0017025329971147585,9.04374806037318e-06,426.57,1.9193110919947138,0.004390085992189617,1.9210136249918286,616.24,0.94,616.24
random,astar,continuous_periodic,99.99,0.9999000000000001,21824.18,218.26991414141415,0.17700199633424657,273.48,171.53,0.002684792000472953,1.617532748730208e-05,392.52,1.712245633002167,0.004254800229696816,1.7149304250026398,569.22,0.99,569.22
random,astar,continuous_pareto,86.81,0.8681000000000002,22446.93,258.5052928524865,0.1240142857142856,355.33,150.48,0.003531708998925751,2.3718069996822827e-05,508.99,2.571846689998056,0.004978556647985248,2.5753783989969814,700.0,0.0,700.0
random,astar,continuous_burst,99.96,0.9995999999999999,22534.56,225.46110443611371,0.17129039851891842,269.16,188.16,0.002757812998352165,1.5065170407823881e-05,402.38,1.854146869996548,0.0044608288664425896,1.8569046829949003,587.04,0.98,587.04
random,cbs_fw,oneshot,99.87,0.9986999999999999,26130.34,261.68169509379516,0.17314155222061575,132.41,181.81,0.003010971001931466,1.7175180679744438e-05,412.05,9.978258136999356,0.02137591121791262,9.981269108001289,582.92,0.93,582.92
random,cbs_fw,continuous_constant,99.81,0.9980999999999999,6989.1,70.02986783652857,0.15953078405022147,138.83,211.25,0.0017405510038588545,8.471378285517506e-06,445.32,11.577638055001298,0.024335369218893788,11.579378606005157,629.61,0.85,629.61
random,cbs_fw,continuous_periodic,99.86,0.9985999999999998,21845.94,218.77294400381368,0.17208946632394642,137.27,182.89,0.0027563039966480574,1.5711016118795727e-05,413.43,8.72363975600165,0.01983901681802953,8.726396059998297,586.69,0.91,586.69
random,cbs_fw,continuous_pareto,86.86,0.8686000000000001,22210.49,256.1864944701583,0.12420513047324185,216.84,160.6,0.0037183440001535926,2.3502351631714743e-05,523.61,20.17325431699628,0.03881308371034117,20.176972660996434,699.46,0.01,699.46
random,cbs_fw,continuous_burst,99.85,0.9984999999999999,22705.16,227.39321132214215,0.16691440448546868,124.22,206.79,0.0028356760026872507,1.4152155689510415e-05,423.38,7.227979301005471,0.01630431122600681,7.2308149770081585,603.69,0.9,603.69
random,dhc,oneshot,98.46,0.9845999999999998,29099.7,295.702562557889,0.15367120157060749,1593.28,166.41,0.003728567999423831,2.380292055787991e-05,646.52,12.046050844996934,0.018632908313090203,12.049779412996358,646.52,0.65,646.52
random,dhc,continuous_constant,97.29,0.9728999999999997,9915.31,101.80217292937277,0.1473814467254467,1602.31,166.2,0.0023467720004191504,1.4709346923568853e-05,664.63,12.382596547000212,0.018630785488352765,12.384943319000632,664.63,0.52,664.63
random,dhc,continuous_periodic,98.01,0.9800999999999997,24281.24,246.60904839397895,0.15335791509514743,1600.15,165.48,0.003405439005146036,2.2020030769528126e-05,645.02,12.016466430995715,0.018629725295993868,12.01987187000086,645.02,0.68,645.02
random,dhc,continuous_pareto,72.06,0.7205999999999999,18300.56,248.82326152010725,0.10294285714285716,1734.01,122.44,0.003970397999146371,3.294621491367294e-05,700.0,13.059297929004678,0.01865613989857811,13.063268327003826,700.0,0.0,700.0
