Scenario,Tasks Completed,Task Success Rate,Throughput,Avg Task Time,Total AGV Collisions
Normal A*,37.88,0.7576,0.0378799999999999,65.90820218532926,271.22
Fault A*,37.84,0.7567999999999998,0.0378399999999999,83.98432919653531,525.09
